item_id,labels,en,es,de,fr,nl,it,pt
parent_survey_child_392,CaregiverSectionIntro3,<block><b><font face=Verdana size=4>This section asks questions related to learning.,<block><b><font face=Verdana size=4>Esta sección tiene preguntas que indagan por el aprendizaje.,<block><b><font face=Verdana size=4>In diesem Abschnitt werden Fragen zum Thema Lernen gestellt.,<block><b><font face=Verdana size=4>Cette section pose des questions relatives à l'apprentissage.,<block><b><font face=Verdana size=4>Dit gedeelte bevat vragen over leren.,,
parent_survey_child_393,ChildELSitems,"If your child is in primary/elementary school (first grade or higher), think about the time before they started primary/elementary school. If your child has not yet started primary/elementary school, think about what happens right now.
<br><br>
<b>How often did/do you or someone else in your home do the following activities with your child?</b>","Si su niño(a)  cursa actualmente un grado de primaria (primero o superior), piense en la época antes de que ingresar a grado primero. Si su niño(a) aún no ha ingresado a la primaria, piense en lo que ocurre actualmente.<br><br><b>¿Con qué frecuencia realizaba usted u otra persona de su hogar las siguientes actividades con él o ella?</b>","Wenn Ihr Kind in der Grundschule ist (erste Klasse oder höher), denken Sie an die Zeit vor der Einschulung. Wenn Ihr Kind noch nicht in der Grundschule ist, beziehen Sie sich auf die jetzige Situation.<br><br><b>Wie oft haben Sie oder jemand anderes bei Ihnen zu Hause die folgenden Aktivitäten mit Ihrem Kind unternommen?</b>?",,,,
parent_survey_child_394,ChildELSitems,Never or almost never,Nunca o casi nunca,Nie oder fast nie,Jamais ou presque jamais,Nooit of bijna nooit,,
parent_survey_child_395,ChildELSitems,Sometimes,A veces,Manchmal,Parfois,Soms,,
parent_survey_child_396,ChildELSitems,Often,Con frecuencia,Oft,Souvent,Vaak,,
parent_survey_child_397,ChildELSitems,Read books,Leer libros,Bücher lesen,Lire des livres,Boeken lezen,,
parent_survey_child_398,ChildELSitems,Tell stories,Contar historias,Geschichten erzählen,Raconter des histoires,Verhalen vertellen,,
parent_survey_child_399,ChildELSitems,Sing songs,Cantar canciones,Lieder singen,Chanter des chansons,Liedjes zingen,,
parent_survey_child_400,ChildELSitems,"Play with alphabet toys (e.g., blocks with letters of the alphabet)","Jugar con juguetes del abecedario (por ejemplo, bloques con las letras del abecedario)",Mit Alphabet-Spielzeug spielen (z. B. Blöcke mit Buchstaben des Alphabets),"Jouer avec des jouets d'alphabet (par exemple, des blocs avec les lettres de l'alphabet)",Spelen met alfabet speelgoed (bijv. blokken met letters van het alfabet),,
parent_survey_child_401,ChildELSitems,Talk about things you had done,Hablar de lo que habían hecho,"Über Dinge sprechen, die Sie getan haben",Parler des choses que vous aviez faites,Praten over dingen die je hebt gedaan,,
parent_survey_child_402,ChildELSitems,Talk about what you had read,Hablar de lo que habían leído,"Über etwas sprechen, was Sie gelesen haben",Parler de ce que vous aviez lu,Praten over wat je hebt gelezen,,
parent_survey_child_403,ChildELSitems,Play word games,Jugar juegos de palabras,Wortspiele spielen,Faire des jeux de mots,Woordspelletjes spelen,,
parent_survey_child_404,ChildELSitems,Write letters or words,Escribir letras o palabras,Buchstaben oder Wörter schreiben,Écrire des lettres ou des mots,Letters of woorden schrijven,,
parent_survey_child_405,ChildELSitems,Read aloud signs and labels,Leer en voz alta signos y etiquetas,Schilder und Etiketten laut lesen,Lire à voix haute des panneaux et des étiquettes,Borden en etiketten hardop lezen,,
parent_survey_child_406,ChildELSitems,Say counting rhymes or sing counting songs,Decir rimas sobre contar o cantar canciones para contar números,Zählreime sagen oder Zähllieder singen,Dire des comptines ou chanter des chansons de comptage,Telrijmpjes zeggen of tallenliedjes zingen,,
parent_survey_child_407,ChildELSitems,"Play with number toys (e.g., blocks with numbers)","Jugar con juguetes con números (por ejemplo, bloques con números)",mit Zahlenspielzeug spielen (z. B. Blöcke mit Zahlen),"Jouer avec des jouets numériques (par exemple, des blocs avec des chiffres)",Spelen met cijferspeelgoed (bijv. blokken met cijfers),,
parent_survey_child_408,ChildELSitems,Count different things,Contar cosas diferentes,Verschiedene Dinge zählen,Compter différentes choses,Verschillende dingen tellen,,
parent_survey_child_409,ChildELSitems,"Play games involving shapes (e.g., shape sorting toys, puzzles)","Jugar con figuras geométricas (por ejemplo, juguetes para clasificar figuras, rompecabezas)","Spiele spielen, die Formen beinhalten (z. B. Spielzeug zum Sortieren von Formen, Puzzles)","Faire des jeux impliquant des formes (par exemple, des jouets de tri de formes, des puzzles)","Spellen spelen met vormen (bijv. vormen sorteerspeeltjes, puzzels)",,
parent_survey_child_410,ChildELSitems,Play with building blocks or construction toys,Jugar con bloques o juguetes de construcción,Mit Bauklötzen oder Konstruktionsspielzeug spielen,Jouer avec des blocs de construction ou des jouets de construction,Bouwen met blokken of constructiespeelgoed spelen,,
parent_survey_child_411,ChildELSitems,Play board or card games,Jugar juegos de mesa o juegos de cartas,Karten- oder Brettspiele spielen,Jouer à des jeux de société ou à des jeux de cartes,Bord- of kaartspellen spelen,,
parent_survey_child_412,ChildELSitems,Write numbers,Escribir números,Zahlen schreiben,Écrire des nombres,Cijfers schrijven,,
parent_survey_child_413,ChildELSitems,Draw shapes,Dibujar figuras,Formen zeichnen,Dessiner des formes,Vormen tekenen,,
parent_survey_child_414,ChildELSitems,"Measure or weigh things (e.g., when cooking)","Medir o pesar cosas (por ejemplo, para cocinar)",Dinge messen oder wiegen (z. B. beim Kochen),"Mesurer ou peser des choses (par exemple, en cuisinant)",Meten of dingen wegen (bijv. bij het koken),,
parent_survey_child_415,ChildAttendEC,Did your child attend an early childhood education program or center for children <b>under age 3</b> before first grade?,¿Su niño(a) asistió a un programa de educación inicial o centro para niños <b>menores de 3 años</b> antes de ingresar a grado primero?,Hat Ihr Kind vor der ersten Klasse ein Programm zur frühkindlichen Erziehung oder ein Zentrum für Kinder <b>unter 3 Jahren</b> besucht?,Votre enfant a-t-il fréquenté un programme d'éducation préscolaire ou un centre pour enfants <b>âgés de moins de 3 ans</b> avant la première année ?,Heeft uw kind een voorschoolse educatie of kindercentrum bezocht voor kinderen <b>jonger dan 3 jaar</b> voordat hij naar groep 1 ging?,,
parent_survey_child_416,ChildAttendEC,Yes,Sí,Ja,Oui,Ja,,
parent_survey_child_417,ChildAttendEC,No,No,Nein,Non,Nee,,
parent_survey_child_418,ChildAttendKinder,"Did your child attend a pre-primary educational program for children <b>age 3 or older</b>, <i>including kindergarten</i>, before first grade?",¿Su niño(a) asistió a un programa de educación preescolar para niños<b> a partir de los 3 años</b> antes de ingresar a grado primero <i>(incluído el kinder)</i>?,"Hat Ihr Kind vor der ersten Klasse eine vorschulische Bildungseinrichtung für Kinder <b>ab 3 Jahren</b>, <i>einschließlich Kindergarten</b>, besucht?","Votre enfant a-t-il fréquenté un programme éducatif préprimaire pour enfants <b>âgés de 3 ans ou plus</b>, <i>y compris le jardin d’enfants</i>, avant la première année ?","Heeft uw kind een voorschoolse opleidingsprogramma voor kinderen van <b>3 jaar of ouder</b> bijgewoond, <i>inclusief kleuterschool</i>, vóór groep 1?",,
parent_survey_child_419,ChildAttendKinder,Yes,Sí,Ja,Oui,Ja,,
parent_survey_child_420,ChildAttendKinder,No,No,Nein,Non,Nee,,
parent_survey_child_421,ChildAttendECKinderTime,Approximately how long was your child in these programs <i>all together</i> (before first grade)?,"Aproximadamente, ¿cuánto tiempo estuvo su niño(a) en estos programas <i>en total</i>? (antes del grado primero)",Wie lange war Ihr Kind ungefähr <i>insgesamt</i> in diesen Programmen? (vor der ersten Klasse),Environ combien de temps votre enfant a-t-il été dans ces programmes <i>en tout</i> (avant la première année)?,Hoe lang was uw kind <i>in totaal</i> in deze programma's (voor groep 1)?,,
parent_survey_child_422,ChildAttendECKinderTime,Did not attend,No asistió,Es hat nicht teilgenommen,N'a pas assisté,Niet bijgewoond,,
parent_survey_child_423,ChildAttendECKinderTime,Less than 1 year,Menos de 1 año,Weniger als 1 Jahr,Moins d'un an,Minder dan 1 jaar,,
parent_survey_child_424,ChildAttendECKinderTime,1 year,1 año,1 Jahr,1 an,1 jaar,,
parent_survey_child_425,ChildAttendECKinderTime,2 years,2 años,2 Jahr,2 ans,2 jaar,,
parent_survey_child_426,ChildAttendECKinderTime,3 years,3 años,3 Jahr,3 ans,3 jaar,,
parent_survey_child_427,ChildAttendECKinderTime,4 years or more,4 años o más,4 Jahre oder mehr,4 ans ou plus,4 jaar of meer,,
parent_survey_child_428,ChildAttendPrimaryAge,How old was your child when he/she began the first grade of primary/elementary school?,¿Qué edad tenía su niño(a) cuando empezó el primer grado de escuela primaria?,"Wie alt war Ihr Kind, als es in die erste Klasse der Grundschule eingeschult wurde?",Quel âge avait votre enfant quand il/elle a commencé la première année de l'école primaire/élémentaire?,Hoe oud was uw kind toen hij/zij naar de eerste klas van de basisschool ging?,,
parent_survey_child_429,ChildAttendPrimaryAge,5 years old or younger,5 años o menos,5 Jahre alt oder jünger,5 ans ou moins,5 jaar of jonger,,
parent_survey_child_430,ChildAttendPrimaryAge,6 years old,6 años,"6 Jahre alt,",6 ans,6 jaar,,
parent_survey_child_431,ChildAttendPrimaryAge,7 years old,7 años,"7 Jahre alt,",7 ans,7 jaar,,
parent_survey_child_432,ChildAttendPrimaryAge,8 years old or older,8 años o más,8 Jahre alt oder älter,8 ans ou plus,8 jaar of ouder,,
parent_survey_child_433,ChildEdAchieve,How far in his/her education do you expect your child to go?,¿Cuál es nivel de educación más alto que usted espera que su niño(a) alcance?,"Was glauben Sie, welchen Bildungsabschluss wird ihr Kind voraussichtlich erreichen?",Jusqu'à quel niveau d'éducation prévoyez-vous que votre enfant ira ?,Hoe ver in zijn/haar opleiding verwacht u dat uw kind zal gaan?,,
parent_survey_child_434,ChildEdAchieve,Less than high school,Primaria,Hauptschulabschluss,Moins que le secondaire,Minder dan middelbare school,,
parent_survey_child_435,ChildEdAchieve,GED or high school equivalency,Bachillerato incompleto,Realschulabschluss,GED ou équivalence de secondaire,MBO of middelbare school equivalent,,
parent_survey_child_436,ChildEdAchieve,Some college but no degree,Bachillerato completo o validación del bachillerato académico,Ausbildung,Certaines études collégiales mais sans diplôme,Een beetje hogere school maar zonder diploma,,
parent_survey_child_437,ChildEdAchieve,High school diploma (or equivalent) plus technical training or certificate,"Pregrado, técnico o tecnólogo incompleto",niedriger als Abitur,Diplôme d'études secondaires (ou équivalent) plus formation technique ou certificat,Hogeschooldiploma (of gelijkwaardig) plus technische training of certificaat,,
parent_survey_child_438,ChildEdAchieve,Associate's degree,Programa técnico o tecnólogo completo,allgemeine oder fachgebundene Hochschulreife,Diplôme d’associé,Associatiediploma,,
parent_survey_child_439,ChildEdAchieve,Bachelor's degree,Pregrado completo,Bachelorabschluss,Baccalauréat,Bachelordiploma,,
parent_survey_child_440,ChildEdAchieve,Master's degree,Maestría completo,Masterabschluss,Maîtrise,Masterdiploma,,
parent_survey_child_441,ChildEdAchieve,Doctoral degree,Doctorado completo,Doktorgrad,Doctorat,Doctorale graad,,
parent_survey_child_442,ChildSchoolItems,How often does your child do the following:,Con qué frecuencia su niño(a) hace lo siguiente:,Wie oft macht Ihr Kind die folgenden Dinge:,À quelle fréquence votre enfant fait-il les actions suivantes :,Hoe vaak doet uw kind het volgende:,,
parent_survey_child_443,ChildSchoolItems,Never,Nunca,Nie,Jamais,Nooit,,
parent_survey_child_444,ChildSchoolItems,Sometimes,A veces,Manchmal,Parfois,Soms,,
parent_survey_child_445,ChildSchoolItems,Usually,Con frecuencia,Gewöhnlich,Souvent,Gewoonlijk,,
parent_survey_child_446,ChildSchoolItems,Always,Siempre,Immer,Toujours,Altijd,,
parent_survey_child_447,ChildSchoolItems,Show interest and curiosity in new topics at school?,¿Mostrar interés y curiosidad por aprender cosas nuevas?,Interesse und Neugierde an neuen Themen in der Schule zeigen?,Montrer de l'intérêt et de la curiosité pour de nouveaux sujets à l'école ?,Toont interesse en nieuwsgierigheid in nieuwe onderwerpen op school?,,
parent_survey_child_448,ChildSchoolItems,Work to finish school-related tasks they start?,¿Trabajar para terminar las tareas del colegio que ha iniciado?,"Arbeiten, um angefangene schulische Aufgaben zu beenden?",Travailler pour terminer les tâches scolaires qu'ils commencent ?,Werken om schoolgerelateerde taken die ze beginnen af te maken?,,
parent_survey_child_449,ChildSchoolItems,Stay calm and in control when faced with an academic challenge?,¿Mantenerse tranquilo(a) y bajo control cuando enfrenta un reto académico?,"Ruhig bleiben und die Kontrolle behalten, wenn sie vor einer schulischen Herausforderung stehen?",Rester calme et en contrôle face à un défi académique ?,Blijf kalm en onder controle als u wordt geconfronteerd met een academische uitdaging?,,
parent_survey_child_450,ChildSchoolItems,Care about doing well in school?,¿Preocuparse por que le vaya bien en la escuela?,"Sich darum bemühen, gut in der Schule zu sein?",Se soucier de réussir à l'école ?,Geven om goed te presteren op school?,,
parent_survey_child_451,ChildSchoolItems,Do all required homework?,¿Cumplir con todas la tareas asignadas?,Alle erforderlichen Hausaufgaben machen?,Faire tous les devoirs requis ?,Doe al het vereiste huiswerk?,,
parent_survey_child_452,ChildDeviceUse,"<b>ON MOST WEEKDAYS</b> (Monday-Friday), about how much time does your child spend in front of a TV, computer, cellphone, or other device watching programs, playing games, accessing the internet, or using social media? <i>Do not include time spent doing schoolwork.</i>","<b>DURANTE LOS DÍAS DE LA SEMANA</b> (lunes a viernes), ¿cuánto tiempo estima usted que pasa su niño(a) frente al televisor, la computadora, el teléfono celular u otro dispositivo electrónico viendo programas, jugando, navegando la internet o las redes sociales? <i>No incluya el tiempo dedicado a las tareas escolares.</i>","Wie viel Zeit hat Ihr Kind <b>AN DEN MEISTEN WOCHENTAGEN</b> (Montag-Freitag) vor dem Fernseher, Computer, Handy oder einem anderen Gerät verbracht, um sich Programme anzusehen, Spiele zu spielen, auf das Internet zuzugreifen oder Social Media zu nutzen? Berücksichtigen Sie nicht die Zeit, die sie mit Schularbeiten verbringen.","<b>PENDANT LA PLUPART DES JOURS DE SEMAINE</b> (lundi-vendredi), combien de temps environ votre enfant passe-t-il devant une télévision, un ordinateur, un téléphone portable ou un autre appareil regardant des programmes, jouant à des jeux, accédant à Internet ou utilisant les réseaux sociaux? <i>Ne pas inclure le temps consacré aux travaux scolaires.</i>","<b>IN DE MEESTE WERKDAGEN</b> (Maandag-Vrijdag), hoeveel tijd brengt uw kind ongeveer door voor een tv, computer, mobiel of ander apparaat om programma's te bekijken, spelletjes te spelen, internet te raadplegen of sociale media te gebruiken? <i>Inclusief de tijd die aan schoolwerk wordt besteed niet.</i>",,
parent_survey_child_453,ChildDeviceUse,Less than 1 hour,Menos de 1 hora,Weniger als 1 Stunde,Moins d'une heure,Minder dan 1 uur,,
parent_survey_child_454,ChildDeviceUse,1 hour,1 hora,1 Stunde,1 heure,1 uur,,
parent_survey_child_455,ChildDeviceUse,2 hours,2 horas,2 Stunde,2 heures,2 uur,,
parent_survey_child_456,ChildDeviceUse,3 hours,3 horas,3 Stunde,3 heures,3 uur,,
parent_survey_child_457,ChildDeviceUse,4 or more hours,4 horas o más,4 oder mehr Stunden,4 heures ou plus,4 of meer uren,,
parent_survey_child_458,ChildPhone,Does your child have a smartphone?,¿Su niño(a) tiene un teléfono inteligente?,Besitzt Ihr Kind ein Smartphone?,Votre enfant possède-t-il un smartphone ?,Heeft uw kind een smartphone?,,
parent_survey_child_459,ChildPhone,Yes,Sí,Ja,Oui,Ja,,
parent_survey_child_460,ChildPhone,No,No,Nein,Non,Nee,,
parent_survey_child_461,ChildPhoneAge,"If yes, at what age did they get it?","En caso afirmativo, ¿a qué edad lo recibió?","Wenn ja, in welchem Alter hat es dies bekommen?","Si oui, à quel âge l'ont-ils eu ?","Zo ja, op welke leeftijd kreeg hij/zij het?",,
parent_survey_child_462,ChildPhoneAge,years of age,años,Lebensjahre,ans,leeftijdsjaren,,
parent_survey_child_463,ChildSocialMedia,"Does your child have an account on any social media website such as Instagram, Tiktok, Meta, or others?","¿Tiene su niño(a) una cuenta en alguna red social como Instagram, Tiktok, Meta u otra?","Hat Ihr Kind ein Konto auf einer Social-Media-Website wie Instagram, Tiktok, Meta oder anderen Seiten?","Votre enfant a-t-il un compte sur un site de média social tel qu'Instagram, TikTok, Meta ou autres ?","Heeft uw kind een account op een sociale mediaplatform zoals Instagram, Tiktok, Meta of anderen?",,
parent_survey_child_464,ChildSocialMedia,Yes,Sí,Ja,Oui,Ja,,
parent_survey_child_465,ChildSocialMedia,No,No,Nein,Non,Nee,,
parent_survey_child_466,ChildEFQintro,"<b>We are interested how often, independently, and easily your child shows each behavior when occasions call for it. Children who excel at a specific behavior should receive 4 (the highest rating), whereas most children will be between 3 and 2. Those who are still developing and need a lot of support should receive a rating of 1. </b><br><br><b>4</b> = Always on their own (No support needed)<br><br>","<b>Nos interesa saber con qué frecuencia, de forma independiente, y facilidad su niño(a) despliega estos comportamientos cuando la ocasión lo requiere. Los niños que sobresalen en un comportamiento específico deberían recibir una calificación de 4 (la puntuación más alta). La mayoría de niños recibirán calificaciones de 3 ó 2. Quienes aún están en desarrollo y requieren mucho apoyo deberían recibir una calificación de 1.</b><br><br><b>4</b> = Siempre por sí mismo (no necesita apoyo) <br><br><b>3</b> = Generalmente por sí mismo (necesita poco apoyo o pocos recordatorios)<br><br><b>2</b> = A veces por sí mismo (necesita apoyo moderado o recordatorios con frecuencia)<br><br><b>1</b> = No puede por sí mismo (necesita mucho apoyo)","<b>Uns interessiert, wie oft, unabhängig und leicht Ihr Kind jedes Verhalten zeigt, wenn es erforderlich ist. Kinder, die ein bestimmtes Verhalten besonders gut beherrschen, sollten eine 4 (die höchste Bewertung) erhalten. Die meisten Kinder werden allerdings zwischen 3 und 2 liegen. Diejenigen, die sich noch in der Entwicklung befinden und viel Unterstützung brauchen, sollten die 1 erhalten.</b><br><br><b>4</b> = Immer allein (keine Unterstützung erforderlich)<b>3</b> = Meistens selbständig (kurze Erinnerung oder Unterstützung)<b>2</b> = Manchmal selbständig (regelmäßige Erinnerungen oder manchmal Unterstützung erforderlich)<b>1</b> = Nicht in der Lage, selbstständig zu sein (benötigt viel Unterstützung)",,,,
parent_survey_child_467,ChildEFQ1,<b>Pays attention when an adult is explaining or showing something<b/> (by listening carefully and/or watching with appropriate eye gaze/body orientation).,<b>Presta atención cuando un adulto está explicando o mostrando algo</b> (escuchando atentamente y observando la demostración del adulto con contacto visual y orientación corporal adecuadas).,"<b>Passt auf, wenn ein Erwachsener etwas erklärt oder zeigt</b> (hört aufmerksam zu und/oder folgt dem Erwachsenen mit Blick oder Körperhaltung).",<b>Fait attention lorsque qu'un adulte explique ou montre quelque chose</b> (en écoutant attentivement et/ou en regardant avec un regard approprié/orientation corporelle).,<b>Let op wanneer een volwassene iets uitlegt of laat zien<b/>(door goed te luisteren en/of te kijken met de juiste oogopslag/oriëntatie van het lichaam).,,
parent_survey_child_468,ChildEFQ1,(4) Always on their own (No support needed),(4) Siempre por sí mismo (no necesita apoyo),(4) Immer allein (keine Unterstützung erforderlich),(4) Toujours par eux-mêmes (aucun soutien nécessaire),(4) Altijd zelfstandig (Geen ondersteuning nodig),,
parent_survey_child_469,ChildEFQ1,(3) Mostly on their own (Brief reminders or support),(3) Generalmente por sí mismo (necesita poco apoyo o pocos recordatorios),(3) Meistens selbstständig (kurze Ermahnungen oder Unterstützung),(3) Principalement par eux-mêmes (rappels brèves ou soutien),(3) Meestal zelfstandig (Korte herinneringen of ondersteuning),,
parent_survey_child_470,ChildEFQ1,(2) Sometimes on their own (Regular reminders or moderate support needed),(2) A veces por sí mismo (necesita apoyo moderado o recordatorios con frecuencia),(2) Manchmal selbstständig (regelmäßige Erinnerungen oder manchmal Unterstützung erforderlich),(2) Parfois par eux-mêmes (rappels réguliers ou soutien modéré nécessaire),(2) Soms zelfstandig (Regelmatige herinneringen of gematigde ondersteuning nodig),,
parent_survey_child_471,ChildEFQ1,(1) Not able on their own (Requires a lot of support),(1) No puede por sí mismo (necesita mucho apoyo),"(1) Nicht in der Lage, selbstständig zu sein (benötigt viel Unterstützung)",(1) Incapable seul (nécessite beaucoup de soutien),(1) Niet zelfstandig (Veel ondersteuning vereist),,
parent_survey_child_472,ChildEFQ7,"<b>Ignores irrelevant activity/noise</b> (e.g., crying sibling, TV, outside traffic) <b>when working on an assigned task.</b>","<b>Ignora actividades y ruidos irrelevantes</b> (p. ej., el llanto de un hermano, la televisión, el tráfico) <b>cuando trabaja en una tarea asignada.</b>","<b>Ignoriert irrelevante Aktivitäten/Geräusche</b> (z. B. weinende Geschwister, Fernsehen, Verkehr draußen), <b>wenn es an einer zugewiesenen Aufgabe arbeitet.</b>","<b>Ignore les activités/sons non pertinents</b> (par exemple, un frère ou une sœur qui pleure, la télévision, la circulation à l'extérieur) <b>lorsqu'il travaille sur une tâche assignée.</b>","<b>Negeert irrelevante activiteit/geruis</b> (bijv., huilende broer of zus, tv, verkeer buiten) <b>bij het werken aan een toegewezen taak.</b>",,
parent_survey_child_473,ChildEFQ12,"<b>Waits turn to speak</b> (e.g., does not interrupt others, does not blurt out answers, thinks before speaking).","<b>Espera su turno para hablar</b> (p. ej., no interrumpe a los demás, no apresura sus respuestas, piensa antes de hablar).","<b>Wartet, bis es an der Reihe ist</b> (z. B. unterbricht andere nicht, platzt nicht mit Antworten heraus, denkt nach, bevor es spricht).","<b>Attend son tour pour parler</b> (par exemple, n'interrompt pas les autres, ne crie pas ses réponses, réfléchit avant de parler).","<b>Wacht op zijn beurt om te spreken</b> (bijv., onderbreekt anderen niet, gooit antwoorden er niet uit, denkt na voordat hij spreekt).",,
parent_survey_child_474,ChildEFQ17,"<b>Completes activities that require multiple steps</b> (e.g., fetching multiple things in home or store/market, setting the table, cleaning a room by putting several things away).","<b>Concluye las actividades que requieren varios pasos</b> (p. ej., ir a buscar varias cosas a la casa o al mercado, poner la mesa, limpiar una habitación guardando varias cosas).","<b>Erledigt Tätigkeiten, die mehrere Schritte erfordern</b> (z. B. mehrere Dinge im Haus oder im Geschäft/Markt holen, den Tisch decken, ein Zimmer aufräumen, indem es mehrere Dinge wegräumt).","<b>Réalise des activités qui nécessitent plusieurs étapes</b> (par exemple, apporter plusieurs objets à la maison ou en magasin, mettre la table, ranger une pièce en rangeant plusieurs choses).","<b>Voltooit activiteiten die meerdere stappen vereisen</b> (bijv., meerdere dingen in huis of winkel/markt halen, de tafel dekken, een kamer opruimen door meerdere dingen op te bergen).",,
parent_survey_child_475,ChildEFQ23,"<b>Comes up with new ways for solving challenges</b> (e.g., repurposes materials or toys, comes up with a new way to build a tower or fort after it collapses, solves a puzzle in a new way, comes up with a new strategy to complete a chore).","<b>Inventa nuevas formas de resolver problemas</b> (p. ej., reutiliza materiales o juguetes, inventa una nueva forma de construir una torre o un castillo después de que se derrumba, resuelve un rompecabezas de una forma nueva, inventa una nueva estrategia para completar una tarea).","<b>Findet neue Wege, um Herausforderungen zu überwinden</b> (z. B. verwendet es Materialien oder Spielzeug wieder, findet einen neuen Weg, einen Turm oder eine Festung zu bauen, nachdem er zusammengebrochen ist, löst ein Rätsel auf neue Weise, findet eine neue Strategie, um eine Aufgabe zu erledigen).","<b>Trouve de nouvelles façons de relever des défis</b> par exemple, réutilise des matériaux ou des jouets, imagine une nouvelle façon de construire une tour ou un fort après son effondrement, résout un puzzle d'une nouvelle manière, conçoit une nouvelle stratégie pour achever une tâche).","<b>Bedenkt nieuwe manieren om uitdagingen op te lossen</b> (bijv., hergebruikt materialen of speelgoed, bedenkt een nieuwe manier om een toren of fort te bouwen nadat het is ingestort, lost een puzzel op een nieuwe manier op, bedenkt een nieuwe strategie om een klus te voltooien).",,
parent_survey_child_476,ChildEFQ29,"<b>Identifies and gathers necessary materials before an activity</b> (e.g., finds appropriate coat, shoes, hat before going outside; gathers lunch box, homework, and backpack before going to school).","<b>Identifica y reúne los materiales necesarios antes de una actividad</b> (p. ej., busca el abrigo, los zapatos o el sombrero adecuados antes de salir a la calle; recoge la lonchera, las tareas y la mochila antes de ir al colegio).","<b>Identifiziert und sammelt die notwendigen Materialien vor einer Aktivität ein</b> (es findet z. B. einen passenden Mantel, Schuhe und eine Mütze, bevor es nach draußen geht; es sammelt seine Lunchbox, Hausaufgaben und seinen Rucksack ein, bevor es zur Schule geht).","<b>Identifie et rassemble les matériaux nécessaires avant une activité</b> (par exemple, trouve un manteau, des chaussures et un chapeau adaptés avant de sortir; rassemble le lunch, les devoirs et le sac à dos avant d'aller à l'école).","<b>Identificeert en verzamelt noodzakelijke materialen voor een activiteit</b> (bijv., vindt een passende jas, schoenen, en hoed voor het naar buiten gaan; verzamelt lunchbox, huiswerk, en rugzak voor het naar school gaan).",,
parent_survey_child_477,ChildEFQ2,"<b>Finishes an assigned task that is repetitive</b> (e.g., picking up toys, putting away laundry).","<b>Concluye una tarea repetitiva asignada</b> (p. ej., recoger los juguetes, guardar la ropa).","<b>Erledigt eine zugewiesene Aufgabe, die sich wiederholt</b> (z. B. Spielzeug aufheben, Wäsche weglegen).","<b>Termine une tâche assignée qui est répétitive</b> (par exemple, ramasser les jouets, ranger le linge).","<b>Voltooit een toegewezen herhalende taak</b> (bijv., speelgoed opruimen, wasgoed opruimen).",,
parent_survey_child_478,ChildEFQ8,<b>Completes an assigned task before moving to a next task.</b>,<b>Termina la tarea asignada antes de pasar a la siguiente.</b>,"<b>Erledigt eine zugewiesene Aufgabe, bevor er zur nächsten Aufgabe übergeht.</b>",<b>Achève une tâche assignée avant de passer à la suivante.</b>,<b>Voltooit een toegewezen taak voordat hij naar een volgende taak gaat.</b>,,
parent_survey_child_479,ChildEFQ13,"<b>Stops an undesirable behavior when asked</b> (e.g., stops fighting with sibling when asked by parent, stops misbehaving in the household).","<b>Detiene un comportamiento indeseable cuando se lo piden</b> (p. ej., deja de pelearse con un hermano cuando se lo piden sus padres, deja de portarse mal en casa).","<b>Beendet ein unerwünschtes Verhalten, wenn es dazu aufgefordert wird</b> (hört z. B. auf, sich mit einem Geschwisterkind zu streiten, wenn es von den Eltern dazu aufgefordert wird, hört auf, sich im Haushalt schlecht zu benehmen).","<b>Arrête un comportement indésirable lorsqu'il le lui est demandé</b> (par exemple, cesse de se battre avec un frère ou une sœur lorsqu'un parent le demande, cesse de mal se comporter dans la maison).","<b>Stopt ongewenst gedrag wanneer daarom gevraagd</b> (bijv., stopt met vechten met broer of zus wanneer ouders dat vragen, stopt met wangedrag in huis).",,
parent_survey_child_480,ChildEFQ18,"<b>Completes activities that require remembering lengthy instructions</b> (e.g., rules of a game, household chores, cooking recipe).","<b>Completa actividades que requieren recordar instrucciones largas</b> (p. ej., reglas de un juego, tareas domésticas, receta de cocina).","<b>Erledigt Tätigkeiten, bei denen man sich längere Anweisungen merken muss</b> (z. B. Spielregeln, Hausarbeiten, Kochrezepte).","<b>Réalise des activités qui nécessitent de se souvenir d'instructions longues</b> (par exemple, règles d'un jeu, tâches ménagères, recette de cuisine).","<b>Voltooit activiteiten die het onthouden van uitgebreide instructies vereisen</b> (bijv., spelregels, huishoudelijke taken, kookrecept).",,
parent_survey_child_481,ChildEFQ24,"<b>Expresses themselves in a new way when not understood by others</b> (e.g., tries different ways to communicate their needs and wants).","<b>Se expresa de forma diferente cuando los demás no le entienden</b> (p. ej., intenta comunicar sus necesidades y deseos de distintas maneras).","<b>Drückt sich auf eine neue Art und Weise aus, wenn es von anderen nicht verstanden wird</b> (z. B. versucht es, seine Bedürfnisse und Wünsche auf unterschiedliche Art und Weise mitzuteilen).","<b>S'exprime d'une nouvelle façon lorsqu'il n'est pas compris par les autres</b> (par exemple, essaie différentes façons de communiquer ses besoins et désirs).","<b>Drukt zich op een nieuwe manier uit wanneer anderen hen niet begrijpen</b> (bijv., probeert verschillende manieren om hun behoeften en verlangens te communiceren).",,
