identifier,labels,de,de-CH,en-GH,en-US,es,es-AR,es-CO,fr,fr-CA,nl,source
ChildDeviceUse,parent_survey_child,Weniger als 1 Stunde,Weniger als 1 Stunde,,,Menos de 1 hora,Menos de 1 hora,Menos de 1 hora,Moins d'une heure,Moins d'une heure,Minder dan 1 uur,Less than 1 hour
ChildDeviceUse,parent_survey_child,1 Stunde,1 Stunde,,,1 hora,1 hora,1 hora,1 heure,1 heure,1 uur,1 hour
ChildDeviceUse,parent_survey_child,2 Stunde,2 Stunden,,,2 horas,2 horas,2 horas,2 heures,2 heures,2 uur,2 hours
ChildDeviceUse,parent_survey_child,3 Stunde,3 Stunden,,,3 horas,3 horas,3 horas,3 heures,3 heures,3 uur,3 hours
ChildDeviceUse,parent_survey_child,4 oder mehr Stunden,4 oder mehr Stunden,4 or more hours,4 or more hours,4 horas o más,4 horas o más,4 horas o más,4 heures ou plus,4 heures ou plus,4 of meer uren,4 or more hours
ChildPhone,parent_survey_child,Besitzt Ihr Kind ein Smartphone?,Besitzt Ihr Kind ein Smartphone?,,,¿Su niño(a) tiene un teléfono inteligente?,¿Su niño(a) tiene un teléfono inteligente?,¿Su niño(a) tiene un teléfono inteligente?,Votre enfant possède-t-il un smartphone ?,Votre enfant possède-t-il un smartphone ?,Heeft uw kind een smartphone?,Does your child have a smartphone?
ChildPhone,parent_survey_child,Ja,Ja,,,Sí,Sí,Sí,Oui,Oui,Ja,Yes
ChildPhone,parent_survey_child,Nein,Nein,No,No,No,No,No,Non,Non,Nee,No
ChildPhoneAge,parent_survey_child,"Wenn ja, in welchem Alter hat es dies bekommen?", in welchem Alter hat es dies bekommen?", in welchem Alter hat es dies bekommen?",,,"En caso afirmativo, ¿a qué edad lo recibió?","En caso afirmativo, ¿a qué edad lo recibió?","En caso afirmativo, ¿a qué edad lo recibió?","Si oui, à quel âge l'ont-ils eu ?","Si oui, à quel âge l'ont-ils eu ?","Zo ja, op welke leeftijd kreeg hij/zij het?","If yes, at what age did they get it?"
ChildPhoneAge,parent_survey_child,Lebensjahre,Lebensjahre,years of age,years of age,años,años,años,ans,ans,leeftijdsjaren,years of age
ChildSocialMedia,parent_survey_child,"Hat Ihr Kind ein Konto auf einer Social-Media-Website wie Instagram, Tiktok,"Hat Ihr Kind ein Konto auf einer Social-Media-Website wie Instagram,"Hat Ihr Kind ein Konto auf einer Social-Media-Website wie Instagram, Tiktok, Meta oder anderen Seiten?",,,"¿Tiene su niño(a) una cuenta en alguna red social como Instagram, Tiktok, Meta u otra?","¿Tiene su niño(a) una cuenta en alguna red social como Instagram, Tiktok, Meta u otra?","¿Tiene su niño(a) una cuenta en alguna red social como Instagram, Tiktok, Meta u otra?","Votre enfant a-t-il un compte sur un site de média social tel qu'Instagram, TikTok, Meta ou autres ?","Votre enfant a-t-il un compte sur un site de média social tel qu'Instagram, TikTok, Meta ou autres ?","Heeft uw kind een account op een sociale mediaplatform zoals Instagram, Tiktok, Meta of anderen?","Does your child have an account on any social media website such as Instagram, Tiktok, Meta, or others?"
ChildSocialMedia,parent_survey_child,Ja,Ja,,,Sí,Sí,Sí,Oui,Oui,Ja,Yes
ChildSocialMedia,parent_survey_child,Nein,Nein,No,No,No,No,No,Non,Non,Nee,No
ChildEFQintro,parent_survey_child,"<b>We are interested how often, independently, whereas most children will be between 3 and 2. Those who are still developing and need a lot of support should receive a rating of 1. </b><br><br><b>4</b> = Always on their own (No support needed)<br><br>", whereas most children will be between 3 and 2. Those who are still developing and need a lot of support should receive a rating of 1. </b><br><br><b>4</b> = Always on their own (No support needed)<br><br>","<b>We are interested how often, independently, and easily your child shows each behavior when occasions call for it. Children who excel at a specific behavior should receive 4 (the highest rating), whereas most children will be between 3 and 2. Those who are still developing and need a lot of support should receive a rating of 1. </b><br><br><b>4</b> = Always on their own (No support needed)<br><br>","<b>We are interested how often, independently, and easily your child shows each behavior when occasions call for it. Children who excel at a specific behavior should receive 4 (the highest rating), whereas most children will be between 3 and 2. Those who are still developing and need a lot of support should receive a rating of 1. </b><br><br><b>4</b> = Always on their own (No support needed)<br><br>","<b>We are interested how often, independently, and easily your child shows each behavior when occasions call for it. Children who excel at a specific behavior should receive 4 (the highest rating), whereas most children will be between 3 and 2. Those who are still developing and need a lot of support should receive a rating of 1. </b><br><br><b>4</b> = Always on their own (No support needed)<br><br>","<b>Nos interesa saber con qué frecuencia, de forma independiente, y facilidad su niño(a) despliega estos comportamientos cuando la ocasión lo requiere. Los niños que sobresalen en un comportamiento específico deberían recibir una calificación de 4 (la puntuación más alta). La mayoría de niños recibirán calificaciones de 3 ó 2. Quienes aún están en desarrollo y requieren mucho apoyo deberían recibir una calificación de 1.</b><br><br><b>4</b> = Siempre por sí mismo (no necesita apoyo) <br><br><b>3</b> = Generalmente por sí mismo (necesita poco apoyo o pocos recordatorios)<br><br><b>2</b> = A veces por sí mismo (necesita apoyo moderado o recordatorios con frecuencia)<br><br><b>1</b> = No puede por sí mismo (necesita mucho apoyo)","<b>We are interested how often, independently, and easily your child shows each behavior when occasions call for it. Children who excel at a specific behavior should receive 4 (the highest rating), whereas most children will be between 3 and 2. Those who are still developing and need a lot of support should receive a rating of 1. </b><br><br><b>4</b> = Always on their own (No support needed)<br><br>","<b>We are interested how often, independently, and easily your child shows each behavior when occasions call for it. Children who excel at a specific behavior should receive 4 (the highest rating), whereas most children will be between 3 and 2. Those who are still developing and need a lot of support should receive a rating of 1. </b><br><br><b>4</b> = Always on their own (No support needed)<br><br>",,"<b>We are interested how often, independently, and easily your child shows each behavior when occasions call for it. Children who excel at a specific behavior should receive 4 (the highest rating), whereas most children will be between 3 and 2. Those who are still developing and need a lot of support should receive a rating of 1. </b><br><br><b>4</b> = Always on their own (No support needed)<br><br>","<b>We are interested how often, independently, and easily your child shows each behavior when occasions call for it. Children who excel at a specific behavior should receive 4 (the highest rating), whereas most children will be between 3 and 2. Those who are still developing and need a lot of support should receive a rating of 1. </b><br><br><b>4</b> = Always on their own (No support needed)<br><br>","<b>We are interested how often, independently, and easily your child shows each behavior when occasions call for it. Children who excel at a specific behavior should receive 4 (the highest rating), whereas most children will be between 3 and 2. Those who are still developing and need a lot of support should receive a rating of 1. </b><br><br><b>4</b> = Always on their own (No support needed)<br><br>"
ChildEFQ1,parent_survey_child,"<b>Passt auf, wenn ein Erwachsener etwas erklärt oder zeigt</b> (hört aufmerksam zu und/oder folgt dem Erwachsenen mit Blick oder Körperhaltung).", wenn ein Erwachsener etwas erklärt oder zeigt</b> (hört aufmerksam zu und/oder folgt dem Erwachsenen mit Blick oder Körperhaltung).", wenn ein Erwachsener etwas erklärt oder zeigt</b> (hört aufmerksam zu und/oder folgt dem Erwachsenen mit Blick oder Körperhaltung).",,,<b>Presta atención cuando un adulto está explicando o mostrando algo</b> (escuchando atentamente y observando la demostración del adulto con contacto visual y orientación corporal adecuadas).,<b>Presta atención cuando un adulto está explicando o mostrando algo</b> (escuchando atentamente y observando la demostración del adulto con contacto visual y orientación corporal adecuadas).,<b>Presta atención cuando un adulto está explicando o mostrando algo</b> (escuchando atentamente y observando la demostración del adulto con contacto visual y orientación corporal adecuadas).,<b>Fait attention lorsque qu'un adulte explique ou montre quelque chose</b> (en écoutant attentivement et/ou en regardant avec un regard approprié/orientation corporelle).,<b>Fait attention lorsque qu'un adulte explique ou montre quelque chose</b> (en écoutant attentivement et/ou en regardant avec un regard approprié/orientation corporelle).,<b>Let op wanneer een volwassene iets uitlegt of laat zien<b/>(door goed te luisteren en/of te kijken met de juiste oogopslag/oriëntatie van het lichaam).,<b>Pays attention when an adult is explaining or showing something<b/> (by listening carefully and/or watching with appropriate eye gaze/body orientation).
ChildEFQ1,parent_survey_child,(4) Immer allein (keine Unterstützung erforderlich),(4) Immer allein (keine Unterstützung erforderlich),,,(4) Siempre por sí mismo (no necesita apoyo),(4) Siempre por sí mismo (no necesita apoyo),(4) Siempre por sí mismo (no necesita apoyo),(4) Toujours par eux-mêmes (aucun soutien nécessaire),(4) Toujours par eux-mêmes (aucun soutien nécessaire),(4) Altijd zelfstandig (Geen ondersteuning nodig),(4) Always on their own (No support needed)
ChildEFQ1,parent_survey_child,(3) Meistens selbstständig (kurze Ermahnungen oder Unterstützung),(3) Meistens selbstständig (kurze Ermahnungen oder Unterstützung),,,(3) Generalmente por sí mismo (necesita poco apoyo o pocos recordatorios),(3) Generalmente por sí mismo (necesita poco apoyo o pocos recordatorios),(3) Generalmente por sí mismo (necesita poco apoyo o pocos recordatorios),(3) Principalement par eux-mêmes (rappels brèves ou soutien),(3) Principalement par eux-mêmes (rappels brèves ou soutien),(3) Meestal zelfstandig (Korte herinneringen of ondersteuning),(3) Mostly on their own (Brief reminders or support)
ChildEFQ1,parent_survey_child,(2) Manchmal selbstständig (regelmäßige Erinnerungen oder manchmal Unterstützung erforderlich),(2) Manchmal selbstständig (regelmäßige Erinnerungen oder manchmal Unterstützung erforderlich),,,(2) A veces por sí mismo (necesita apoyo moderado o recordatorios con frecuencia),(2) A veces por sí mismo (necesita apoyo moderado o recordatorios con frecuencia),(2) A veces por sí mismo (necesita apoyo moderado o recordatorios con frecuencia),(2) Parfois par eux-mêmes (rappels réguliers ou soutien modéré nécessaire),(2) Parfois par eux-mêmes (rappels réguliers ou soutien modéré nécessaire),(2) Soms zelfstandig (Regelmatige herinneringen of gematigde ondersteuning nodig),(2) Sometimes on their own (Regular reminders or moderate support needed)
ChildEFQ1,parent_survey_child,"(1) Nicht in der Lage, selbstständig zu sein (benötigt viel Unterstützung)", selbstständig zu sein (benötigt viel Unterstützung)", selbstständig zu sein (benötigt viel Unterstützung)",(1) Not able on their own (Requires a lot of support),(1) Not able on their own (Requires a lot of support),(1) No puede por sí mismo (necesita mucho apoyo),(1) No puede por sí mismo (necesita mucho apoyo),(1) No puede por sí mismo (necesita mucho apoyo),(1) Incapable seul (nécessite beaucoup de soutien),(1) Incapable seul (nécessite beaucoup de soutien),(1) Niet zelfstandig (Veel ondersteuning vereist),(1) Not able on their own (Requires a lot of support)
ChildEFQ7,parent_survey_child,"<b>Ignoriert irrelevante Aktivitäten/Geräusche</b> (z. B. weinende Geschwister, Fernsehen, <b>wenn es an einer zugewiesenen Aufgabe arbeitet.</b>", <b>wenn es an einer zugewiesenen Aufgabe arbeitet.</b>","<b>Ignoriert irrelevante Aktivitäten/Geräusche</b> (z. B. weinende Geschwister, Fernsehen, Verkehr draußen) <b>wenn es an einer zugewiesenen Aufgabe arbeitet.</b>","<b>Ignores irrelevant activity/noise</b> (e.g., crying sibling, TV, outside traffic) <b>when working on an assigned task.</b>","<b>Ignores irrelevant activity/noise</b> (e.g., crying sibling, TV, outside traffic) <b>when working on an assigned task.</b>","<b>Ignora actividades y ruidos irrelevantes</b> (p. ej., el llanto de un hermano, la televisión, el tráfico) <b>cuando trabaja en una tarea asignada.</b>","<b>Ignora actividades y ruidos irrelevantes</b> (p. ej., el llanto de un hermano, la televisión, el tráfico) <b>cuando trabaja en una tarea asignada.</b>","<b>Ignora actividades y ruidos irrelevantes</b> (p. ej., el llanto de un hermano, la televisión, el tráfico) <b>cuando trabaja en una tarea asignada.</b>","<b>Ignore les activités/sons non pertinents</b> (par exemple, un frère ou une sœur qui pleure, la télévision, la circulation à l'extérieur) <b>lorsqu'il travaille sur une tâche assignée.</b>","<b>Ignore les activités/sons non pertinents</b> (par exemple, un frère ou une sœur qui pleure, la télévision, la circulation à l'extérieur) <b>lorsqu'il travaille sur une tâche assignée.</b>","<b>Negeert irrelevante activiteit/geruis</b> (bijv., huilende broer of zus, tv, verkeer buiten) <b>bij het werken aan een toegewezen taak.</b>","<b>Ignores irrelevant activity/noise</b> (e.g., crying sibling, TV, outside traffic) <b>when working on an assigned task.</b>"
ChildEFQ12,parent_survey_child,"<b>Wartet, bis es an der Reihe ist</b> (z. B. unterbricht andere nicht, denkt nach, denkt nach, bevor es spricht).","<b>Wartet, bis es an der Reihe ist</b> (z. B. unterbricht andere nicht, platzt nicht mit Antworten heraus, denkt nach, bevor es spricht).","<b>Waits turn to speak</b> (e.g., does not interrupt others, does not blurt out answers, thinks before speaking).","<b>Waits turn to speak</b> (e.g., does not interrupt others, does not blurt out answers, thinks before speaking).","<b>Espera su turno para hablar</b> (p. ej., no interrumpe a los demás, no apresura sus respuestas, piensa antes de hablar).","<b>Espera su turno para hablar</b> (p. ej., no interrumpe a los demás, no apresura sus respuestas, piensa antes de hablar).","<b>Espera su turno para hablar</b> (p. ej., no interrumpe a los demás, no apresura sus respuestas, piensa antes de hablar).","<b>Attend son tour pour parler</b> (par exemple, n'interrompt pas les autres, ne crie pas ses réponses, réfléchit avant de parler).","<b>Attend son tour pour parler</b> (par exemple, n'interrompt pas les autres, ne crie pas ses réponses, réfléchit avant de parler).","<b>Wacht op zijn beurt om te spreken</b> (bijv., onderbreekt anderen niet, gooit antwoorden er niet uit, denkt na voordat hij spreekt).","<b>Waits turn to speak</b> (e.g., does not interrupt others, does not blurt out answers, thinks before speaking)."
ChildEFQ17,parent_survey_child,"<b>Erledigt Tätigkeiten, die mehrere Schritte erfordern</b> (z. B. mehrere Dinge im Haus oder im Geschäft/Markt holen, ein Zimmer aufräumen, ein Zimmer aufräumen, indem es mehrere Dinge wegräumt).","<b>Erledigt Aktivitäten, die mehrere Schritte erfordern</b> (z. B. mehrere Dinge im Haus oder im Geschäft/Markt holen, den Tisch decken, ein Zimmer aufräumen, indem es mehrere Dinge wegräumt).","<b>Completes activities that require multiple steps</b> (e.g., fetching multiple things in home or store/market, setting the table, cleaning a room by putting several things away).","<b>Completes activities that require multiple steps</b> (e.g., fetching multiple things in home or store/market, setting the table, cleaning a room by putting several things away).","<b>Concluye las actividades que requieren varios pasos</b> (p. ej., ir a buscar varias cosas a la casa o al mercado, poner la mesa, limpiar una habitación guardando varias cosas).","<b>Concluye las actividades que requieren varios pasos</b> (p. ej., ir a buscar varias cosas a la casa o al mercado, poner la mesa, limpiar una habitación guardando varias cosas).","<b>Concluye las actividades que requieren varios pasos</b> (p. ej., ir a buscar varias cosas a la casa o al mercado, poner la mesa, limpiar una habitación guardando varias cosas).","<b>Réalise des activités qui nécessitent plusieurs étapes</b> (par exemple, apporter plusieurs objets à la maison ou en magasin, mettre la table, ranger une pièce en rangeant plusieurs choses).","<b>Réalise des activités qui nécessitent plusieurs étapes</b> (par exemple, apporter plusieurs objets à la maison ou en magasin, mettre la table, ranger une pièce en rangeant plusieurs choses).","<b>Voltooit activiteiten die meerdere stappen vereisen</b> (bijv., meerdere dingen in huis of winkel/markt halen, de tafel dekken, een kamer opruimen door meerdere dingen op te bergen).","<b>Completes activities that require multiple steps</b> (e.g., fetching multiple things in home or store/market, setting the table, cleaning a room by putting several things away)."
ChildEFQ23,parent_survey_child,"<b>Findet neue Wege, um Herausforderungen zu überwinden</b> (z. B. verwendet es Materialien oder Spielzeug wieder, einen Turm oder eine Festung zu bauen, einen Turm oder eine Festung zu bauen, nachdem er zusammengebrochen ist, löst ein Rätsel auf neue Weise, findet eine neue Strategie, um eine Aufgabe zu erledigen).","<b>Findet neue Wege, um Herausforderungen zu überwinden</b> (z. B. verwendet es Materialien oder Spielzeug wieder, findet einen neuen Weg, einen Turm oder eine Festung zu bauen, nachdem er zusammengebrochen ist, löst ein Rätsel auf neue Weise, findet eine neue Strategie, um eine Aufgabe zu erledigen).","<b>Comes up with new ways for solving challenges</b> (e.g., repurposes materials or toys, comes up with a new way to build a tower or fort after it collapses, solves a puzzle in a new way, comes up with a new strategy to complete a chore).","<b>Comes up with new ways for solving challenges</b> (e.g., repurposes materials or toys, comes up with a new way to build a tower or fort after it collapses, solves a puzzle in a new way, comes up with a new strategy to complete a chore).","<b>Inventa nuevas formas de resolver problemas</b> (p. ej., reutiliza materiales o juguetes, inventa una nueva forma de construir una torre o un castillo después de que se derrumba, resuelve un rompecabezas de una forma nueva, inventa una nueva estrategia para completar una tarea).","<b>Inventa nuevas formas de resolver problemas</b> (p. ej., reutiliza materiales o juguetes, inventa una nueva forma de construir una torre o un castillo después de que se derrumba, resuelve un rompecabezas de una forma nueva, inventa una nueva estrategia para completar una tarea).","<b>Inventa nuevas formas de resolver problemas</b> (p. ej., reutiliza materiales o juguetes, inventa una nueva forma de construir una torre o un castillo después de que se derrumba, resuelve un rompecabezas de una forma nueva, inventa una nueva estrategia para completar una tarea).","<b>Trouve de nouvelles façons de relever des défis</b> par exemple, réutilise des matériaux ou des jouets, imagine une nouvelle façon de construire une tour ou un fort après son effondrement, résout un puzzle d'une nouvelle manière, conçoit une nouvelle stratégie pour achever une tâche).","<b>Trouve de nouvelles façons de relever des défis</b> par exemple, réutilise des matériaux ou des jouets, imagine une nouvelle façon de construire une tour ou un fort après son effondrement, résout un puzzle d'une nouvelle manière, conçoit une nouvelle stratégie pour achever une tâche).","<b>Bedenkt nieuwe manieren om uitdagingen op te lossen</b> (bijv., hergebruikt materialen of speelgoed, bedenkt een nieuwe manier om een toren of fort te bouwen nadat het is ingestort, lost een puzzel op een nieuwe manier op, bedenkt een nieuwe strategie om een klus te voltooien).","<b>Comes up with new ways for solving challenges</b> (e.g., repurposes materials or toys, comes up with a new way to build a tower or fort after it collapses, solves a puzzle in a new way, comes up with a new strategy to complete a chore)."
ChildEFQ29,parent_survey_child,"<b>Identifiziert und sammelt die notwendigen Materialien vor einer Aktivität ein</b> (es findet z. B. einen passenden Mantel, Schuhe und eine Mütze, Hausaufgaben und seinen Rucksack ein, Hausaufgaben und seinen Rucksack ein, bevor es zur Schule geht).","<b>Identifiziert und sammelt die notwendigen Materialien vor einer Aktivität ein</b> (es findet z. B. einen passenden Mantel, Schuhe und eine Mütze, bevor es nach draußen geht; es sammelt seine Lunchbox, Hausaufgaben und seinen Rucksack ein, bevor es zur Schule geht).","<b>Identifies and gathers necessary materials before an activity</b> (e.g., finds appropriate coat, shoes, hat before going outside; gathers lunch box, homework, and backpack before going to school).","<b>Identifies and gathers necessary materials before an activity</b> (e.g., finds appropriate coat, shoes, hat before going outside; gathers lunch box, homework, and backpack before going to school).","<b>Identifica y reúne los materiales necesarios antes de una actividad</b> (p. ej., busca el abrigo, los zapatos o el sombrero adecuados antes de salir a la calle; recoge la lonchera, las tareas y la mochila antes de ir al colegio).","<b>Identifica y reúne los materiales necesarios antes de una actividad</b> (p. ej., busca el abrigo, los zapatos o el sombrero adecuados antes de salir a la calle; recoge la lonchera, las tareas y la mochila antes de ir al colegio).","<b>Identifica y reúne los materiales necesarios antes de una actividad</b> (p. ej., busca el abrigo, los zapatos o el sombrero adecuados antes de salir a la calle; recoge la lonchera, las tareas y la mochila antes de ir al colegio).","<b>Identifie et rassemble les matériaux nécessaires avant une activité</b> (par exemple, trouve un manteau, des chaussures et un chapeau adaptés avant de sortir; rassemble le lunch, les devoirs et le sac à dos avant d'aller à l'école).","<b>Identifie et rassemble les matériaux nécessaires avant une activité</b> (par exemple, trouve un manteau, des chaussures et un chapeau adaptés avant de sortir; rassemble le lunch, les devoirs et le sac à dos avant d'aller à l'école).","<b>Identificeert en verzamelt noodzakelijke materialen voor een activiteit</b> (bijv., vindt een passende jas, schoenen, en hoed voor het naar buiten gaan; verzamelt lunchbox, huiswerk, en rugzak voor het naar school gaan).","<b>Identifies and gathers necessary materials before an activity</b> (e.g., finds appropriate coat, shoes, hat before going outside; gathers lunch box, homework, and backpack before going to school)."
ChildEFQ2,parent_survey_child,"<b>Erledigt eine zugewiesene Aufgabe, die sich wiederholt</b> (z. B. Spielzeug aufheben,"<b>Erledigt eine zugewiesene Aufgabe,"<b>Erledigt eine zugewiesene Aufgabe, die sich wiederholt</b> (z. B. Spielzeug aufheben, Wäsche weglegen).","<b>Finishes an assigned task that is repetitive</b> (e.g., picking up toys, putting away laundry).","<b>Finishes an assigned task that is repetitive</b> (e.g., picking up toys, putting away laundry).","<b>Concluye una tarea repetitiva asignada</b> (p. ej., recoger los juguetes, guardar la ropa).","<b>Concluye una tarea repetitiva asignada</b> (p. ej., recoger los juguetes, guardar la ropa).","<b>Concluye una tarea repetitiva asignada</b> (p. ej., recoger los juguetes, guardar la ropa).","<b>Termine une tâche assignée qui est répétitive</b> (par exemple, ramasser les jouets, ranger le linge).","<b>Termine une tâche assignée qui est répétitive</b> (par exemple, ramasser les jouets, ranger le linge).","<b>Voltooit een toegewezen herhalende taak</b> (bijv., speelgoed opruimen, wasgoed opruimen).","<b>Finishes an assigned task that is repetitive</b> (e.g., picking up toys, putting away laundry)."
ChildEFQ8,parent_survey_child,"<b>Erledigt eine zugewiesene Aufgabe, bevor er zur nächsten Aufgabe übergeht.</b>", bevor er zur nächsten Aufgabe übergeht.</b>", bevor er zur nächsten Aufgabe übergeht.</b>",<b>Completes an assigned task before moving to a next task.</b>,<b>Completes an assigned task before moving to a next task.</b>,<b>Termina la tarea asignada antes de pasar a la siguiente.</b>,<b>Termina la tarea asignada antes de pasar a la siguiente.</b>,<b>Termina la tarea asignada antes de pasar a la siguiente.</b>,<b>Achève une tâche assignée avant de passer à la suivante.</b>,<b>Achève une tâche assignée avant de passer à la suivante.</b>,<b>Voltooit een toegewezen taak voordat hij naar een volgende taak gaat.</b>,<b>Completes an assigned task before moving to a next task.</b>
ChildEFQ13,parent_survey_child,"<b>Beendet ein unerwünschtes Verhalten, wenn es dazu aufgefordert wird</b> (hört z. B. auf, wenn es von den Eltern dazu aufgefordert wird, wenn es von den Eltern dazu aufgefordert wird, hört auf, sich im Haushalt schlecht zu benehmen).","<b>Beendet ein unerwünschtes Verhalten, wenn es dazu aufgefordert wird</b> (hört z. B. auf, sich mit einem Geschwisterkind zu streiten, wenn es von den Eltern dazu aufgefordert wird, hört auf, sich im Haushalt schlecht zu benehmen).","<b>Stops an undesirable behavior when asked</b> (e.g., stops fighting with sibling when asked by parent, stops misbehaving in the household).","<b>Stops an undesirable behavior when asked</b> (e.g., stops fighting with sibling when asked by parent, stops misbehaving in the household).","<b>Detiene un comportamiento indeseable cuando se lo piden</b> (p. ej., deja de pelearse con un hermano cuando se lo piden sus padres, deja de portarse mal en casa).","<b>Detiene un comportamiento indeseable cuando se lo piden</b> (p. ej., deja de pelearse con un hermano cuando se lo piden sus padres, deja de portarse mal en casa).","<b>Detiene un comportamiento indeseable cuando se lo piden</b> (p. ej., deja de pelearse con un hermano cuando se lo piden sus padres, deja de portarse mal en casa).","<b>Arrête un comportement indésirable lorsqu'il le lui est demandé</b> (par exemple, cesse de se battre avec un frère ou une sœur lorsqu'un parent le demande, cesse de mal se comporter dans la maison).","<b>Arrête un comportement indésirable lorsqu'il le lui est demandé</b> (par exemple, cesse de se battre avec un frère ou une sœur lorsqu'un parent le demande, cesse de mal se comporter dans la maison).","<b>Stopt ongewenst gedrag wanneer daarom gevraagd</b> (bijv., stopt met vechten met broer of zus wanneer ouders dat vragen, stopt met wangedrag in huis).","<b>Stops an undesirable behavior when asked</b> (e.g., stops fighting with sibling when asked by parent, stops misbehaving in the household)."
ChildEFQ18,parent_survey_child,"<b>Erledigt Tätigkeiten, bei denen man sich längere Anweisungen merken muss</b> (z. B. Spielregeln, Kochrezepte).", Kochrezepte).","<b>Erledigt Tätigkeiten, bei denen man sich längere Anweisungen merken muss</b> (z. B. Spielregeln, Hausarbeiten, Kochrezepte).","<b>Completes activities that require remembering lengthy instructions</b> (e.g., rules of a game, household chores, cooking recipe).","<b>Completes activities that require remembering lengthy instructions</b> (e.g., rules of a game, household chores, cooking recipe).","<b>Completa actividades que requieren recordar instrucciones largas</b> (p. ej., reglas de un juego, tareas domésticas, receta de cocina).","<b>Completa actividades que requieren recordar instrucciones largas</b> (p. ej., reglas de un juego, tareas domésticas, receta de cocina).","<b>Completa actividades que requieren recordar instrucciones largas</b> (p. ej., reglas de un juego, tareas domésticas, receta de cocina).","<b>Réalise des activités qui nécessitent de se souvenir d'instructions longues</b> (par exemple, règles d'un jeu, tâches ménagères, recette de cuisine).","<b>Réalise des activités qui nécessitent de se souvenir d'instructions longues</b> (par exemple, règles d'un jeu, tâches ménagères, recette de cuisine).","<b>Voltooit activiteiten die het onthouden van uitgebreide instructies vereisen</b> (bijv., spelregels, huishoudelijke taken, kookrecept).","<b>Completes activities that require remembering lengthy instructions</b> (e.g., rules of a game, household chores, cooking recipe)."
ChildEFQ24,parent_survey_child,"<b>Drückt sich auf eine neue Art und Weise aus, wenn es von anderen nicht verstanden wird</b> (z. B. versucht es,"<b>Drückt sich auf eine neue Art und Weise aus,"<b>Drückt sich auf eine neue Art und Weise aus, wenn es von anderen nicht verstanden wird</b> (z. B. versucht es, seine Bedürfnisse und Wünsche auf unterschiedliche Art und Weise mitzuteilen).","<b>Expresses themselves in a new way when not understood by others</b> (e.g., tries different ways to communicate their needs and wants).","<b>Expresses themselves in a new way when not understood by others</b> (e.g., tries different ways to communicate their needs and wants).","<b>Se expresa de forma diferente cuando los demás no le entienden</b> (p. ej., intenta comunicar sus necesidades y deseos de distintas maneras).","<b>Se expresa de forma diferente cuando los demás no le entienden</b> (p. ej., intenta comunicar sus necesidades y deseos de distintas maneras).","<b>Se expresa de forma diferente cuando los demás no le entienden</b> (p. ej., intenta comunicar sus necesidades y deseos de distintas maneras).","<b>S'exprime d'une nouvelle façon lorsqu'il n'est pas compris par les autres</b> (par exemple, essaie différentes façons de communiquer ses besoins et désirs).","<b>S'exprime d'une nouvelle façon lorsqu'il n'est pas compris par les autres</b> (par exemple, essaie différentes façons de communiquer ses besoins et désirs).","<b>Drukt zich op een nieuwe manier uit wanneer anderen hen niet begrijpen</b> (bijv., probeert verschillende manieren om hun behoeften en verlangens te communiceren).","<b>Expresses themselves in a new way when not understood by others</b> (e.g., tries different ways to communicate their needs and wants)."
ChildEFQ30,parent_survey_child,"<b>Erstellt eine Strategie oder einen Plan für die Erledigung einer Aufgabe</b> (z. B. Hausarbeit, Hausaufgaben,"<b>Erstellt eine Strategie oder einen Plan für die Erledigung einer Aufgabe</b> (z. B. Hausarbeit,"<b>Erstellt eine Strategie oder einen Plan für die Erledigung einer Aufgabe</b> (z. B. Hausarbeit, Hausaufgaben, Puzzle).","<b>Creates a strategy or plan for completing a task</b> (e.g., chore, homework, puzzle).","<b>Creates a strategy or plan for completing a task</b> (e.g., chore, homework, puzzle).","<b>Crea una estrategia o un plan para completar una tarea</b> (p. ej., una tarea, los deberes, un rompecabezas).","<b>Crea una estrategia o un plan para completar una tarea</b> (p. ej., una tarea, los deberes, un rompecabezas).","<b>Crea una estrategia o un plan para completar una tarea</b> (p. ej., una tarea, los deberes, un rompecabezas).","<b>Crée une stratégie ou un plan pour accomplir une tâche</b> (par exemple, une corvée, des devoirs, un puzzle).","<b>Crée une stratégie ou un plan pour accomplir une tâche</b> (par exemple, une corvée, des devoirs, un puzzle).","<b>Creëert een strategie of plan om een taak te voltooien</b> (bijv., klus, huiswerk, puzzel).","<b>Creates a strategy or plan for completing a task</b> (e.g., chore, homework, puzzle)."
