identifier,labels,source,en-US,de,de_CH,es,es_AR,es_CO,fr,fr_CA,nl,en,es-CO,fr-CA,de-CH,es-AR,en-GH
ChildEFQ7,parent_survey_child,"<b>Ignores irrelevant activity/noise</b> (e.g., crying sibling, TV, outside traffic) <b>when working on an assigned task.</b>","<b>Ignores irrelevant activity/noise</b> (e.g., crying sibling, TV, outside traffic) <b>when working on an assigned task.</b>","<b>Ignoriert irrelevante Aktivitäten/Geräusche</b> (z. B. weinende Geschwister, Fernsehen, Verkehr draußen), <b>wenn es an einer zugewiesenen Aufgabe arbeitet.</b>","<b>Ignoriert irrelevante Aktivitäten/Geräusche</b> (z. B. weinende Geschwister, Fernsehen, Verkehr draußen) <b>wenn es an einer zugewiesenen Aufgabe arbeitet.</b>","<b>Ignora actividades y ruidos irrelevantes</b> (p. ej., el llanto de un hermano, la televisión, el tráfico) <b>cuando trabaja en una tarea asignada.</b>","<b>Ignora actividades y ruidos irrelevantes</b> (p. ej., el llanto de un hermano, la televisión, el tráfico) <b>cuando trabaja en una tarea asignada.</b>","<b>Ignora actividades y ruidos irrelevantes</b> (p. ej., el llanto de un hermano, la televisión, el tráfico) <b>cuando trabaja en una tarea asignada.</b>","<b>Ignore les activités/sons non pertinents</b> (par exemple, un frère ou une sœur qui pleure, la télévision, la circulation à l'extérieur) <b>lorsqu'il travaille sur une tâche assignée.</b>","<b>Ignore les activités/sons non pertinents</b> (par exemple, un frère ou une sœur qui pleure, la télévision, la circulation à l'extérieur) <b>lorsqu'il travaille sur une tâche assignée.</b>","<b>Negeert irrelevante activiteit/geruis</b> (bijv., huilende broer of zus, tv, verkeer buiten) <b>bij het werken aan een toegewezen taak.</b>","<b>Ignores irrelevant activity/noise</b> (e.g., crying sibling, TV, outside traffic) <b>when working on an assigned task.</b>","<b>Ignora actividades y ruidos irrelevantes</b> (p. ej., el llanto de un hermano, la televisión, el tráfico) <b>cuando trabaja en una tarea asignada.</b>","<b>Ignore les activités/sons non pertinents</b> (par exemple, un frère ou une sœur qui pleure, la télévision, la circulation à l'extérieur) <b>lorsqu'il travaille sur une tâche assignée.</b>","<b>Ignoriert irrelevante Aktivitäten/Geräusche</b> (z. B. weinende Geschwister, Fernsehen, Verkehr draußen) <b>wenn es an einer zugewiesenen Aufgabe arbeitet.</b>","<b>Ignora actividades y ruidos irrelevantes</b> (p. ej., el llanto de un hermano, la televisión, el tráfico) <b>cuando trabaja en una tarea asignada.</b>","<b>Ignores irrelevant activity/noise</b> (e.g., crying sibling, TV, outside traffic) <b>when working on an assigned task.</b>"
ChildEFQ12,parent_survey_child,"<b>Waits turn to speak</b> (e.g., does not interrupt others, does not blurt out answers, thinks before speaking).","<b>Waits turn to speak</b> (e.g., does not interrupt others, does not blurt out answers, thinks before speaking).","<b>Wartet, bis es an der Reihe ist</b> (z. B. unterbricht andere nicht, platzt nicht mit Antworten heraus, denkt nach, bevor es spricht).","<b>Wartet, bis es an der Reihe ist</b> (z. B. unterbricht andere nicht, platzt nicht mit Antworten heraus, denkt nach, bevor es spricht).","<b>Espera su turno para hablar</b> (p. ej., no interrumpe a los demás, no apresura sus respuestas, piensa antes de hablar).","<b>Espera su turno para hablar</b> (p. ej., no interrumpe a los demás, no apresura sus respuestas, piensa antes de hablar).","<b>Espera su turno para hablar</b> (p. ej., no interrumpe a los demás, no apresura sus respuestas, piensa antes de hablar).","<b>Attend son tour pour parler</b> (par exemple, n'interrompt pas les autres, ne crie pas ses réponses, réfléchit avant de parler).","<b>Attend son tour pour parler</b> (par exemple, n'interrompt pas les autres, ne crie pas ses réponses, réfléchit avant de parler).","<b>Wacht op zijn beurt om te spreken</b> (bijv., onderbreekt anderen niet, gooit antwoorden er niet uit, denkt na voordat hij spreekt).","<b>Waits turn to speak</b> (e.g., does not interrupt others, does not blurt out answers, thinks before speaking).","<b>Espera su turno para hablar</b> (p. ej., no interrumpe a los demás, no apresura sus respuestas, piensa antes de hablar).","<b>Attend son tour pour parler</b> (par exemple, n'interrompt pas les autres, ne crie pas ses réponses, réfléchit avant de parler).","<b>Wartet, bis es an der Reihe ist</b> (z. B. unterbricht andere nicht, platzt nicht mit Antworten heraus, denkt nach, bevor es spricht).","<b>Espera su turno para hablar</b> (p. ej., no interrumpe a los demás, no apresura sus respuestas, piensa antes de hablar).","<b>Waits turn to speak</b> (e.g., does not interrupt others, does not blurt out answers, thinks before speaking)."
ChildEFQ17,parent_survey_child,"<b>Completes activities that require multiple steps</b> (e.g., fetching multiple things in home or store/market, setting the table, cleaning a room by putting several things away).","<b>Completes activities that require multiple steps</b> (e.g., fetching multiple things in home or store/market, setting the table, cleaning a room by putting several things away).","<b>Erledigt Tätigkeiten, die mehrere Schritte erfordern</b> (z. B. mehrere Dinge im Haus oder im Geschäft/Markt holen, den Tisch decken, ein Zimmer aufräumen, indem es mehrere Dinge wegräumt).","<b>Erledigt Aktivitäten, die mehrere Schritte erfordern</b> (z. B. mehrere Dinge im Haus oder im Geschäft/Markt holen, den Tisch decken, ein Zimmer aufräumen, indem es mehrere Dinge wegräumt).","<b>Concluye las actividades que requieren varios pasos</b> (p. ej., ir a buscar varias cosas a la casa o al mercado, poner la mesa, limpiar una habitación guardando varias cosas).","<b>Concluye las actividades que requieren varios pasos</b> (p. ej., ir a buscar varias cosas a la casa o al mercado, poner la mesa, limpiar una habitación guardando varias cosas).","<b>Concluye las actividades que requieren varios pasos</b> (p. ej., ir a buscar varias cosas a la casa o al mercado, poner la mesa, limpiar una habitación guardando varias cosas).","<b>Réalise des activités qui nécessitent plusieurs étapes</b> (par exemple, apporter plusieurs objets à la maison ou en magasin, mettre la table, ranger une pièce en rangeant plusieurs choses).","<b>Réalise des activités qui nécessitent plusieurs étapes</b> (par exemple, apporter plusieurs objets à la maison ou en magasin, mettre la table, ranger une pièce en rangeant plusieurs choses).","<b>Voltooit activiteiten die meerdere stappen vereisen</b> (bijv., meerdere dingen in huis of winkel/markt halen, de tafel dekken, een kamer opruimen door meerdere dingen op te bergen).","<b>Completes activities that require multiple steps</b> (e.g., fetching multiple things in home or store/market, setting the table, cleaning a room by putting several things away).","<b>Concluye las actividades que requieren varios pasos</b> (p. ej., ir a buscar varias cosas a la casa o al mercado, poner la mesa, limpiar una habitación guardando varias cosas).","<b>Réalise des activités qui nécessitent plusieurs étapes</b> (par exemple, apporter plusieurs objets à la maison ou en magasin, mettre la table, ranger une pièce en rangeant plusieurs choses).","<b>Erledigt Aktivitäten, die mehrere Schritte erfordern</b> (z. B. mehrere Dinge im Haus oder im Geschäft/Markt holen, den Tisch decken, ein Zimmer aufräumen, indem es mehrere Dinge wegräumt).","<b>Concluye las actividades que requieren varios pasos</b> (p. ej., ir a buscar varias cosas a la casa o al mercado, poner la mesa, limpiar una habitación guardando varias cosas).","<b>Completes activities that require multiple steps</b> (e.g., fetching multiple things in home or store/market, setting the table, cleaning a room by putting several things away)."
ChildEFQ23,parent_survey_child,"<b>Comes up with new ways for solving challenges</b> (e.g., repurposes materials or toys, comes up with a new way to build a tower or fort after it collapses, solves a puzzle in a new way, comes up with a new strategy to complete a chore).","<b>Comes up with new ways for solving challenges</b> (e.g., repurposes materials or toys, comes up with a new way to build a tower or fort after it collapses, solves a puzzle in a new way, comes up with a new strategy to complete a chore).","<b>Findet neue Wege, um Herausforderungen zu überwinden</b> (z. B. verwendet es Materialien oder Spielzeug wieder, findet einen neuen Weg, einen Turm oder eine Festung zu bauen, nachdem er zusammengebrochen ist, löst ein Rätsel auf neue Weise, findet eine neue Strategie, um eine Aufgabe zu erledigen).","<b>Findet neue Wege, um Herausforderungen zu überwinden</b> (z. B. verwendet es Materialien oder Spielzeug wieder, findet einen neuen Weg, einen Turm oder eine Festung zu bauen, nachdem er zusammengebrochen ist, löst ein Rätsel auf neue Weise, findet eine neue Strategie, um eine Aufgabe zu erledigen).","<b>Inventa nuevas formas de resolver problemas</b> (p. ej., reutiliza materiales o juguetes, inventa una nueva forma de construir una torre o un castillo después de que se derrumba, resuelve un rompecabezas de una forma nueva, inventa una nueva estrategia para completar una tarea).","<b>Inventa nuevas formas de resolver problemas</b> (p. ej., reutiliza materiales o juguetes, inventa una nueva forma de construir una torre o un castillo después de que se derrumba, resuelve un rompecabezas de una forma nueva, inventa una nueva estrategia para completar una tarea).","<b>Inventa nuevas formas de resolver problemas</b> (p. ej., reutiliza materiales o juguetes, inventa una nueva forma de construir una torre o un castillo después de que se derrumba, resuelve un rompecabezas de una forma nueva, inventa una nueva estrategia para completar una tarea).","<b>Trouve de nouvelles façons de relever des défis</b> par exemple, réutilise des matériaux ou des jouets, imagine une nouvelle façon de construire une tour ou un fort après son effondrement, résout un puzzle d'une nouvelle manière, conçoit une nouvelle stratégie pour achever une tâche).","<b>Trouve de nouvelles façons de relever des défis</b> par exemple, réutilise des matériaux ou des jouets, imagine une nouvelle façon de construire une tour ou un fort après son effondrement, résout un puzzle d'une nouvelle manière, conçoit une nouvelle stratégie pour achever une tâche).","<b>Bedenkt nieuwe manieren om uitdagingen op te lossen</b> (bijv., hergebruikt materialen of speelgoed, bedenkt een nieuwe manier om een toren of fort te bouwen nadat het is ingestort, lost een puzzel op een nieuwe manier op, bedenkt een nieuwe strategie om een klus te voltooien).","<b>Comes up with new ways for solving challenges</b> (e.g., repurposes materials or toys, comes up with a new way to build a tower or fort after it collapses, solves a puzzle in a new way, comes up with a new strategy to complete a chore).","<b>Inventa nuevas formas de resolver problemas</b> (p. ej., reutiliza materiales o juguetes, inventa una nueva forma de construir una torre o un castillo después de que se derrumba, resuelve un rompecabezas de una forma nueva, inventa una nueva estrategia para completar una tarea).","<b>Trouve de nouvelles façons de relever des défis</b> par exemple, réutilise des matériaux ou des jouets, imagine une nouvelle façon de construire une tour ou un fort après son effondrement, résout un puzzle d'une nouvelle manière, conçoit une nouvelle stratégie pour achever une tâche).","<b>Findet neue Wege, um Herausforderungen zu überwinden</b> (z. B. verwendet es Materialien oder Spielzeug wieder, findet einen neuen Weg, einen Turm oder eine Festung zu bauen, nachdem er zusammengebrochen ist, löst ein Rätsel auf neue Weise, findet eine neue Strategie, um eine Aufgabe zu erledigen).","<b>Inventa nuevas formas de resolver problemas</b> (p. ej., reutiliza materiales o juguetes, inventa una nueva forma de construir una torre o un castillo después de que se derrumba, resuelve un rompecabezas de una forma nueva, inventa una nueva estrategia para completar una tarea).","<b>Comes up with new ways for solving challenges</b> (e.g., repurposes materials or toys, comes up with a new way to build a tower or fort after it collapses, solves a puzzle in a new way, comes up with a new strategy to complete a chore)."
ChildEFQ29,parent_survey_child,"<b>Identifies and gathers necessary materials before an activity</b> (e.g., finds appropriate coat, shoes, hat before going outside; gathers lunch box, homework, and backpack before going to school).","<b>Identifies and gathers necessary materials before an activity</b> (e.g., finds appropriate coat, shoes, hat before going outside; gathers lunch box, homework, and backpack before going to school).","<b>Identifiziert und sammelt die notwendigen Materialien vor einer Aktivität ein</b> (es findet z. B. einen passenden Mantel, Schuhe und eine Mütze, bevor es nach draußen geht; es sammelt seine Lunchbox, Hausaufgaben und seinen Rucksack ein, bevor es zur Schule geht).","<b>Identifiziert und sammelt die notwendigen Materialien vor einer Aktivität ein</b> (es findet z. B. einen passenden Mantel, Schuhe und eine Mütze, bevor es nach draußen geht; es sammelt seine Lunchbox, Hausaufgaben und seinen Rucksack ein, bevor es zur Schule geht).","<b>Identifica y reúne los materiales necesarios antes de una actividad</b> (p. ej., busca el abrigo, los zapatos o el sombrero adecuados antes de salir a la calle; recoge la lonchera, las tareas y la mochila antes de ir al colegio).","<b>Identifica y reúne los materiales necesarios antes de una actividad</b> (p. ej., busca el abrigo, los zapatos o el sombrero adecuados antes de salir a la calle; recoge la lonchera, las tareas y la mochila antes de ir al colegio).","<b>Identifica y reúne los materiales necesarios antes de una actividad</b> (p. ej., busca el abrigo, los zapatos o el sombrero adecuados antes de salir a la calle; recoge la lonchera, las tareas y la mochila antes de ir al colegio).","<b>Identifie et rassemble les matériaux nécessaires avant une activité</b> (par exemple, trouve un manteau, des chaussures et un chapeau adaptés avant de sortir; rassemble le lunch, les devoirs et le sac à dos avant d'aller à l'école).","<b>Identifie et rassemble les matériaux nécessaires avant une activité</b> (par exemple, trouve un manteau, des chaussures et un chapeau adaptés avant de sortir; rassemble le lunch, les devoirs et le sac à dos avant d'aller à l'école).","<b>Identificeert en verzamelt noodzakelijke materialen voor een activiteit</b> (bijv., vindt een passende jas, schoenen, en hoed voor het naar buiten gaan; verzamelt lunchbox, huiswerk, en rugzak voor het naar school gaan).","<b>Identifies and gathers necessary materials before an activity</b> (e.g., finds appropriate coat, shoes, hat before going outside; gathers lunch box, homework, and backpack before going to school).","<b>Identifica y reúne los materiales necesarios antes de una actividad</b> (p. ej., busca el abrigo, los zapatos o el sombrero adecuados antes de salir a la calle; recoge la lonchera, las tareas y la mochila antes de ir al colegio).","<b>Identifie et rassemble les matériaux nécessaires avant une activité</b> (par exemple, trouve un manteau, des chaussures et un chapeau adaptés avant de sortir; rassemble le lunch, les devoirs et le sac à dos avant d'aller à l'école).","<b>Identifiziert und sammelt die notwendigen Materialien vor einer Aktivität ein</b> (es findet z. B. einen passenden Mantel, Schuhe und eine Mütze, bevor es nach draußen geht; es sammelt seine Lunchbox, Hausaufgaben und seinen Rucksack ein, bevor es zur Schule geht).","<b>Identifica y reúne los materiales necesarios antes de una actividad</b> (p. ej., busca el abrigo, los zapatos o el sombrero adecuados antes de salir a la calle; recoge la lonchera, las tareas y la mochila antes de ir al colegio).","<b>Identifies and gathers necessary materials before an activity</b> (e.g., finds appropriate coat, shoes, hat before going outside; gathers lunch box, homework, and backpack before going to school)."
ChildEFQ2,parent_survey_child,"<b>Finishes an assigned task that is repetitive</b> (e.g., picking up toys, putting away laundry).","<b>Finishes an assigned task that is repetitive</b> (e.g., picking up toys, putting away laundry).","<b>Erledigt eine zugewiesene Aufgabe, die sich wiederholt</b> (z. B. Spielzeug aufheben, Wäsche weglegen).","<b>Erledigt eine zugewiesene Aufgabe, die sich wiederholt</b> (z. B. Spielzeug aufheben, Wäsche weglegen).","<b>Concluye una tarea repetitiva asignada</b> (p. ej., recoger los juguetes, guardar la ropa).","<b>Concluye una tarea repetitiva asignada</b> (p. ej., recoger los juguetes, guardar la ropa).","<b>Concluye una tarea repetitiva asignada</b> (p. ej., recoger los juguetes, guardar la ropa).","<b>Termine une tâche assignée qui est répétitive</b> (par exemple, ramasser les jouets, ranger le linge).","<b>Termine une tâche assignée qui est répétitive</b> (par exemple, ramasser les jouets, ranger le linge).","<b>Voltooit een toegewezen herhalende taak</b> (bijv., speelgoed opruimen, wasgoed opruimen).","<b>Finishes an assigned task that is repetitive</b> (e.g., picking up toys, putting away laundry).","<b>Concluye una tarea repetitiva asignada</b> (p. ej., recoger los juguetes, guardar la ropa).","<b>Termine une tâche assignée qui est répétitive</b> (par exemple, ramasser les jouets, ranger le linge).","<b>Erledigt eine zugewiesene Aufgabe, die sich wiederholt</b> (z. B. Spielzeug aufheben, Wäsche weglegen).","<b>Concluye una tarea repetitiva asignada</b> (p. ej., recoger los juguetes, guardar la ropa).","<b>Finishes an assigned task that is repetitive</b> (e.g., picking up toys, putting away laundry)."
ChildEFQ8,parent_survey_child,<b>Completes an assigned task before moving to a next task.</b>,<b>Completes an assigned task before moving to a next task.</b>,"<b>Erledigt eine zugewiesene Aufgabe, bevor er zur nächsten Aufgabe übergeht.</b>","<b>Erledigt eine zugewiesene Aufgabe, bevor er zur nächsten Aufgabe übergeht.</b>",<b>Termina la tarea asignada antes de pasar a la siguiente.</b>,<b>Termina la tarea asignada antes de pasar a la siguiente.</b>,<b>Termina la tarea asignada antes de pasar a la siguiente.</b>,<b>Achève une tâche assignée avant de passer à la suivante.</b>,<b>Achève une tâche assignée avant de passer à la suivante.</b>,<b>Voltooit een toegewezen taak voordat hij naar een volgende taak gaat.</b>,<b>Completes an assigned task before moving to a next task.</b>,<b>Termina la tarea asignada antes de pasar a la siguiente.</b>,<b>Achève une tâche assignée avant de passer à la suivante.</b>,"<b>Erledigt eine zugewiesene Aufgabe, bevor er zur nächsten Aufgabe übergeht.</b>",<b>Termina la tarea asignada antes de pasar a la siguiente.</b>,<b>Completes an assigned task before moving to a next task.</b>
ChildEFQ13,parent_survey_child,"<b>Stops an undesirable behavior when asked</b> (e.g., stops fighting with sibling when asked by parent, stops misbehaving in the household).","<b>Stops an undesirable behavior when asked</b> (e.g., stops fighting with sibling when asked by parent, stops misbehaving in the household).","<b>Beendet ein unerwünschtes Verhalten, wenn es dazu aufgefordert wird</b> (hört z. B. auf, sich mit einem Geschwisterkind zu streiten, wenn es von den Eltern dazu aufgefordert wird, hört auf, sich im Haushalt schlecht zu benehmen).","<b>Beendet ein unerwünschtes Verhalten, wenn es dazu aufgefordert wird</b> (hört z. B. auf, sich mit einem Geschwisterkind zu streiten, wenn es von den Eltern dazu aufgefordert wird, hört auf, sich im Haushalt schlecht zu benehmen).","<b>Detiene un comportamiento indeseable cuando se lo piden</b> (p. ej., deja de pelearse con un hermano cuando se lo piden sus padres, deja de portarse mal en casa).","<b>Detiene un comportamiento indeseable cuando se lo piden</b> (p. ej., deja de pelearse con un hermano cuando se lo piden sus padres, deja de portarse mal en casa).","<b>Detiene un comportamiento indeseable cuando se lo piden</b> (p. ej., deja de pelearse con un hermano cuando se lo piden sus padres, deja de portarse mal en casa).","<b>Arrête un comportement indésirable lorsqu'il le lui est demandé</b> (par exemple, cesse de se battre avec un frère ou une sœur lorsqu'un parent le demande, cesse de mal se comporter dans la maison).","<b>Arrête un comportement indésirable lorsqu'il le lui est demandé</b> (par exemple, cesse de se battre avec un frère ou une sœur lorsqu'un parent le demande, cesse de mal se comporter dans la maison).","<b>Stopt ongewenst gedrag wanneer daarom gevraagd</b> (bijv., stopt met vechten met broer of zus wanneer ouders dat vragen, stopt met wangedrag in huis).","<b>Stops an undesirable behavior when asked</b> (e.g., stops fighting with sibling when asked by parent, stops misbehaving in the household).","<b>Detiene un comportamiento indeseable cuando se lo piden</b> (p. ej., deja de pelearse con un hermano cuando se lo piden sus padres, deja de portarse mal en casa).","<b>Arrête un comportement indésirable lorsqu'il le lui est demandé</b> (par exemple, cesse de se battre avec un frère ou une sœur lorsqu'un parent le demande, cesse de mal se comporter dans la maison).","<b>Beendet ein unerwünschtes Verhalten, wenn es dazu aufgefordert wird</b> (hört z. B. auf, sich mit einem Geschwisterkind zu streiten, wenn es von den Eltern dazu aufgefordert wird, hört auf, sich im Haushalt schlecht zu benehmen).","<b>Detiene un comportamiento indeseable cuando se lo piden</b> (p. ej., deja de pelearse con un hermano cuando se lo piden sus padres, deja de portarse mal en casa).","<b>Stops an undesirable behavior when asked</b> (e.g., stops fighting with sibling when asked by parent, stops misbehaving in the household)."
ChildEFQ18,parent_survey_child,"<b>Completes activities that require remembering lengthy instructions</b> (e.g., rules of a game, household chores, cooking recipe).","<b>Completes activities that require remembering lengthy instructions</b> (e.g., rules of a game, household chores, cooking recipe).","<b>Erledigt Tätigkeiten, bei denen man sich längere Anweisungen merken muss</b> (z. B. Spielregeln, Hausarbeiten, Kochrezepte).","<b>Erledigt Tätigkeiten, bei denen man sich längere Anweisungen merken muss</b> (z. B. Spielregeln, Hausarbeiten, Kochrezepte).","<b>Completa actividades que requieren recordar instrucciones largas</b> (p. ej., reglas de un juego, tareas domésticas, receta de cocina).","<b>Completa actividades que requieren recordar instrucciones largas</b> (p. ej., reglas de un juego, tareas domésticas, receta de cocina).","<b>Completa actividades que requieren recordar instrucciones largas</b> (p. ej., reglas de un juego, tareas domésticas, receta de cocina).","<b>Réalise des activités qui nécessitent de se souvenir d'instructions longues</b> (par exemple, règles d'un jeu, tâches ménagères, recette de cuisine).","<b>Réalise des activités qui nécessitent de se souvenir d'instructions longues</b> (par exemple, règles d'un jeu, tâches ménagères, recette de cuisine).","<b>Voltooit activiteiten die het onthouden van uitgebreide instructies vereisen</b> (bijv., spelregels, huishoudelijke taken, kookrecept).","<b>Completes activities that require remembering lengthy instructions</b> (e.g., rules of a game, household chores, cooking recipe).","<b>Completa actividades que requieren recordar instrucciones largas</b> (p. ej., reglas de un juego, tareas domésticas, receta de cocina).","<b>Réalise des activités qui nécessitent de se souvenir d'instructions longues</b> (par exemple, règles d'un jeu, tâches ménagères, recette de cuisine).","<b>Erledigt Tätigkeiten, bei denen man sich längere Anweisungen merken muss</b> (z. B. Spielregeln, Hausarbeiten, Kochrezepte).","<b>Completa actividades que requieren recordar instrucciones largas</b> (p. ej., reglas de un juego, tareas domésticas, receta de cocina).","<b>Completes activities that require remembering lengthy instructions</b> (e.g., rules of a game, household chores, cooking recipe)."
ChildEFQ24,parent_survey_child,"<b>Expresses themselves in a new way when not understood by others</b> (e.g., tries different ways to communicate their needs and wants).","<b>Expresses themselves in a new way when not understood by others</b> (e.g., tries different ways to communicate their needs and wants).","<b>Drückt sich auf eine neue Art und Weise aus, wenn es von anderen nicht verstanden wird</b> (z. B. versucht es, seine Bedürfnisse und Wünsche auf unterschiedliche Art und Weise mitzuteilen).","<b>Drückt sich auf eine neue Art und Weise aus, wenn es von anderen nicht verstanden wird</b> (z. B. versucht es, seine Bedürfnisse und Wünsche auf unterschiedliche Art und Weise mitzuteilen).","<b>Se expresa de forma diferente cuando los demás no le entienden</b> (p. ej., intenta comunicar sus necesidades y deseos de distintas maneras).","<b>Se expresa de forma diferente cuando los demás no le entienden</b> (p. ej., intenta comunicar sus necesidades y deseos de distintas maneras).","<b>Se expresa de forma diferente cuando los demás no le entienden</b> (p. ej., intenta comunicar sus necesidades y deseos de distintas maneras).","<b>S'exprime d'une nouvelle façon lorsqu'il n'est pas compris par les autres</b> (par exemple, essaie différentes façons de communiquer ses besoins et désirs).","<b>S'exprime d'une nouvelle façon lorsqu'il n'est pas compris par les autres</b> (par exemple, essaie différentes façons de communiquer ses besoins et désirs).","<b>Drukt zich op een nieuwe manier uit wanneer anderen hen niet begrijpen</b> (bijv., probeert verschillende manieren om hun behoeften en verlangens te communiceren).","<b>Expresses themselves in a new way when not understood by others</b> (e.g., tries different ways to communicate their needs and wants).","<b>Se expresa de forma diferente cuando los demás no le entienden</b> (p. ej., intenta comunicar sus necesidades y deseos de distintas maneras).","<b>S'exprime d'une nouvelle façon lorsqu'il n'est pas compris par les autres</b> (par exemple, essaie différentes façons de communiquer ses besoins et désirs).","<b>Drückt sich auf eine neue Art und Weise aus, wenn es von anderen nicht verstanden wird</b> (z. B. versucht es, seine Bedürfnisse und Wünsche auf unterschiedliche Art und Weise mitzuteilen).","<b>Se expresa de forma diferente cuando los demás no le entienden</b> (p. ej., intenta comunicar sus necesidades y deseos de distintas maneras).","<b>Expresses themselves in a new way when not understood by others</b> (e.g., tries different ways to communicate their needs and wants)."
ChildEFQ30,parent_survey_child,"<b>Creates a strategy or plan for completing a task</b> (e.g., chore, homework, puzzle).","<b>Creates a strategy or plan for completing a task</b> (e.g., chore, homework, puzzle).","<b>Erstellt eine Strategie oder einen Plan für die Erledigung einer Aufgabe</b> (z. B. Hausarbeit, Hausaufgaben, Puzzle).","<b>Erstellt eine Strategie oder einen Plan für die Erledigung einer Aufgabe</b> (z. B. Hausarbeit, Hausaufgaben, Puzzle).","<b>Crea una estrategia o un plan para completar una tarea</b> (p. ej., una tarea, los deberes, un rompecabezas).","<b>Crea una estrategia o un plan para completar una tarea</b> (p. ej., una tarea, los deberes, un rompecabezas).","<b>Crea una estrategia o un plan para completar una tarea</b> (p. ej., una tarea, los deberes, un rompecabezas).","<b>Crée une stratégie ou un plan pour accomplir une tâche</b> (par exemple, une corvée, des devoirs, un puzzle).","<b>Crée une stratégie ou un plan pour accomplir une tâche</b> (par exemple, une corvée, des devoirs, un puzzle).","<b>Creëert een strategie of plan om een taak te voltooien</b> (bijv., klus, huiswerk, puzzel).","<b>Creates a strategy or plan for completing a task</b> (e.g., chore, homework, puzzle).","<b>Crea una estrategia o un plan para completar una tarea</b> (p. ej., una tarea, los deberes, un rompecabezas).","<b>Crée une stratégie ou un plan pour accomplir une tâche</b> (par exemple, une corvée, des devoirs, un puzzle).","<b>Erstellt eine Strategie oder einen Plan für die Erledigung einer Aufgabe</b> (z. B. Hausarbeit, Hausaufgaben, Puzzle).","<b>Crea una estrategia o un plan para completar una tarea</b> (p. ej., una tarea, los deberes, un rompecabezas).","<b>Creates a strategy or plan for completing a task</b> (e.g., chore, homework, puzzle)."
ChildEFQ3,parent_survey_child,"<b>Remains focused and engaged during lengthy adult-led activities</b> (e.g., religious or performance event, family meal time) <b>by listening carefully and contributing when appropriate.</b>","<b>Remains focused and engaged during lengthy adult-led activities</b> (e.g., religious or performance event, family meal time) <b>by listening carefully and contributing when appropriate.</b>","<b>Bleibt während längerer, von Erwachsenen geleiteter Aktivitäten</b> (z. B. religiöse Veranstaltungen oder Aufführungen, Mahlzeiten in der Familie) <b>konzentriert und engagiert, indem es aufmerksam zuhört und gegebenenfalls teilnimmt, wenn es angemessen ist.</b>","<b>Bleibt während längerer, von Erwachsenen geleiteter Aktivitäten</b> (z. B. religiöse Veranstaltungen oder Aufführungen, Mahlzeiten in der Familie) <b>konzentriert und engagiert, indem es aufmerksam zuhört und gegebenenfalls teilnimmt, wenn es angemessen ist.</b>","<b>Se mantiene concentrado e involucrado durante las actividades prolongadas dirigidas por adultos</b> (p. ej., presentaciones o actos religiosos, comidas en familia), <b>escuchando atentamente y participando apropiadamente.</b>","<b>Se mantiene concentrado e involucrado durante las actividades prolongadas dirigidas por adultos</b> (p. ej., presentaciones o actos religiosos, comidas en familia), <b>escuchando atentamente y participando apropiadamente.</b>","<b>Se mantiene concentrado e involucrado durante las actividades prolongadas dirigidas por adultos</b> (p. ej., presentaciones o actos religiosos, comidas en familia), <b>escuchando atentamente y participando apropiadamente.</b>","<b>Reste concentré et engagé pendant les activités prolongées dirigées par des adultes</b> (par exemple, événement religieux ou de performance, repas en famille) <b>en écoutant attentivement et en contribuant si nécessaire.</b>","<b>Reste concentré et engagé pendant les activités prolongées dirigées par des adultes</b> (par exemple, événement religieux ou de performance, repas en famille) <b>en écoutant attentivement et en contribuant si nécessaire.</b>","<b>Blijft gefocust en betrokken tijdens lange door volwassenen geleide activiteiten</b> (bijv., religieuze of culturele evenementen, gezinsmaaltijd) <b>door aandachtig te luisteren en bij te dragen waar passend.</b>","<b>Remains focused and engaged during lengthy adult-led activities</b> (e.g., religious or performance event, family meal time) <b>by listening carefully and contributing when appropriate.</b>","<b>Se mantiene concentrado e involucrado durante las actividades prolongadas dirigidas por adultos</b> (p. ej., presentaciones o actos religiosos, comidas en familia), <b>escuchando atentamente y participando apropiadamente.</b>","<b>Reste concentré et engagé pendant les activités prolongées dirigées par des adultes</b> (par exemple, événement religieux ou de performance, repas en famille) <b>en écoutant attentivement et en contribuant si nécessaire.</b>","<b>Bleibt während längerer, von Erwachsenen geleiteter Aktivitäten</b> (z. B. religiöse Veranstaltungen oder Aufführungen, Mahlzeiten in der Familie) <b>konzentriert und engagiert, indem es aufmerksam zuhört und gegebenenfalls teilnimmt, wenn es angemessen ist.</b>","<b>Se mantiene concentrado e involucrado durante las actividades prolongadas dirigidas por adultos</b> (p. ej., presentaciones o actos religiosos, comidas en familia), <b>escuchando atentamente y participando apropiadamente.</b>","<b>Remains focused and engaged during lengthy adult-led activities</b> (e.g., religious or performance event, family meal time) <b>by listening carefully and contributing when appropriate.</b>"
